quantity,parameter,group,S1,S1_conf,ST,ST_conf,n_imputed
peak_strain_amplitude,a_pas_kpa,hidden,0.310236571497165,0.07814446634913289,0.3262228368458398,0.05330505384317539,0
peak_strain_amplitude,b_pas,hidden,0.21422475794129525,0.0782847035277904,0.26532327378878834,0.048483000154484514,0
peak_strain_amplitude,ca50_ref_um,hidden,0.009676961003705999,0.02222102469438746,0.03618117734436674,0.009382995715739542,0
peak_strain_amplitude,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
peak_strain_amplitude,heart_rate_bpm,loading,0.08271864607364347,0.04370935050270762,0.12569625684634658,0.024540592060961045,0
peak_strain_amplitude,total_blood_volume_ml,loading,0.01195068119746538,0.015518537106595733,0.015252897074928943,0.0029717438891967898,0
peak_strain_amplitude,systemic_resistance_mmhg_s_per_ml,loading,0.04864284881953496,0.028151227699202506,0.061066805167788264,0.011972904650085879,0
mean_arterial_pressure_mmhg,wall_volume_ml,measured,0.07287766214703378,0.03625109537065837,0.07821916134887567,0.01457682774985133,0
mean_arterial_pressure_mmhg,ref_cavity_volume_ml,measured,0.03555076423172311,0.03309984169534903,0.06716205348816759,0.013611623694006023,0
mean_arterial_pressure_mmhg,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
mean_arterial_pressure_mmhg,phi_baseline,hidden,0.008937623914645901,0.013838552832980237,0.01278536127941138,0.004592980246517302,0
mean_arterial_pressure_mmhg,a_pas_kpa,hidden,0.289620412450033,0.07579819611773563,0.30724514127418034,0.04761487848452811,0
mean_arterial_pressure_mmhg,b_pas,hidden,0.18472556372041823,0.06547458331744167,0.20185623770384925,0.032846636758947376,0
mean_arterial_pressure_mmhg,ca50_ref_um,hidden,0.01018770371809812,0.025030302090178026,0.034783267145035934,0.01098270143205155,0
mean_arterial_pressure_mmhg,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
mean_arterial_pressure_mmhg,heart_rate_bpm,loading,0.08339559868611392,0.04026143907047249,0.09010036070639638,0.014635835656317969,0
mean_arterial_pressure_mmhg,total_blood_volume_ml,loading,0.0823076639391066,0.04264563299247334,0.08662052321885794,0.012666739194734633,0
mean_arterial_pressure_mmhg,systemic_resistance_mmhg_s_per_ml,loading,0.16320327006866298,0.0583509427596122,0.18233064023142126,0.024185845062560808,0
cardiac_output_l_per_min,wall_volume_ml,measured,0.07510827209772336,0.035882892642675676,0.08392623839234914,0.014957161765252823,0
cardiac_output_l_per_min,ref_cavity_volume_ml,measured,0.07996750718878605,0.042745459277086034,0.11155242042402848,0.02086674418762337,0
cardiac_output_l_per_min,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
cardiac_output_l_per_min,phi_baseline,hidden,0.010582475014650957,0.01540125077203727,0.01482211158777585,0.00545890237557442,0
cardiac_output_l_per_min,a_pas_kpa,hidden,0.3593732412745212,0.08138597254819174,0.3909356615242874,0.06472984814695175,0
cardiac_output_l_per_min,b_pas,hidden,0.24255386397108278,0.07333987419272475,0.26485991322516006,0.04435649046402038,0
cardiac_output_l_per_min,ca50_ref_um,hidden,0.02195297460238688,0.03004005141044823,0.04938655353634944,0.015910440928033186,0
cardiac_output_l_per_min,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
cardiac_output_l_per_min,heart_rate_bpm,loading,0.08071499566580047,0.03483761680363934,0.10160558243216121,0.019663671809141102,0
cardiac_output_l_per_min,total_blood_volume_ml,loading,0.03034052246149675,0.029083357609899434,0.039580931104072306,0.006859771968232837,0
cardiac_output_l_per_min,systemic_resistance_mmhg_s_per_ml,loading,0.06611232974946604,0.03170907059932516,0.05776570359823408,0.01077321141811108,0
heart_rate_bpm,wall_volume_ml,measured,0.0,0.0,0.0,0.0,0
heart_rate_bpm,ref_cavity_volume_ml,measured,0.0,0.0,0.0,0.0,0
heart_rate_bpm,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
heart_rate_bpm,phi_baseline,hidden,0.0,0.0,0.0,0.0,0
heart_rate_bpm,a_pas_kpa,hidden,0.0,0.0,0.0,0.0,0
heart_rate_bpm,b_pas,hidden,0.0,0.0,0.0,0.0,0
heart_rate_bpm,ca50_ref_um,hidden,0.0,0.0,0.0,0.0,0
heart_rate_bpm,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
heart_rate_bpm,heart_rate_bpm,loading,1.0001857842370536,0.11233715199750678,0.9987102310381274,0.0977208208553704,0
heart_rate_bpm,total_blood_volume_ml,loading,0.0,0.0,0.0,0.0,0
heart_rate_bpm,systemic_resistance_mmhg_s_per_ml,loading,0.0,0.0,0.0,0.0,0
thickness_to_cavity_ratio,wall_volume_ml,measured,0.36097167245910355,0.08165935801602252,0.43927036390203905,0.07432144948709508,0
thickness_to_cavity_ratio,ref_cavity_volume_ml,measured,0.25778220748461,0.06068410864202303,0.3122555592521501,0.049298740041054716,0
thickness_to_cavity_ratio,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
thickness_to_cavity_ratio,phi_baseline,hidden,0.029000260783019087,0.025661790467959678,0.01672431125766701,0.005751486503909875,0
thickness_to_cavity_ratio,a_pas_kpa,hidden,0.09940664330892503,0.04047717990459858,0.10779517752022331,0.023629078924658306,0
thickness_to_cavity_ratio,b_pas,hidden,0.05438773232714791,0.035452007997913246,0.0663844879958424,0.01692957794051932,0
thickness_to_cavity_ratio,ca50_ref_um,hidden,0.035712374501483735,0.03106903578967987,0.07200724662079022,0.02291571220532865,0
thickness_to_cavity_ratio,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
thickness_to_cavity_ratio,heart_rate_bpm,loading,0.05449766928464479,0.04598011256412408,0.07380618395375903,0.022046778563217878,0
thickness_to_cavity_ratio,total_blood_volume_ml,loading,0.009736878619636352,0.02188051286930938,0.022473977309955,0.004816193626732265,0
thickness_to_cavity_ratio,systemic_resistance_mmhg_s_per_ml,loading,0.005553440474501312,0.010654920708577705,0.0058905155884219395,0.0012818027895949969,0
stroke_volume_index_ml_per_m2,wall_volume_ml,measured,0.054306760914478384,0.03462372666913328,0.0666025542870717,0.013200318595873119,0
stroke_volume_index_ml_per_m2,ref_cavity_volume_ml,measured,0.07195022476803276,0.04845934315669131,0.0859720849495068,0.01813539547694125,0
stroke_volume_index_ml_per_m2,body_surface_area_m2,measured,0.12706250142550402,0.04918263003358005,0.14030536556392237,0.023594419379286368,0
stroke_volume_index_ml_per_m2,phi_baseline,hidden,0.010645845128615515,0.015296118905260123,0.011063253200747546,0.0041471200365472355,0
stroke_volume_index_ml_per_m2,a_pas_kpa,hidden,0.29835009298931914,0.07506816110290178,0.32884873348771676,0.06244760132710994,0
stroke_volume_index_ml_per_m2,b_pas,hidden,0.18889528240140038,0.07338050376784717,0.22673453593600348,0.038318651484681714,0
stroke_volume_index_ml_per_m2,ca50_ref_um,hidden,0.010645978901977767,0.027464630062102167,0.03245940913361953,0.010642646410653907,0
stroke_volume_index_ml_per_m2,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
stroke_volume_index_ml_per_m2,heart_rate_bpm,loading,0.09367322933261066,0.04861995769300082,0.13723883670269985,0.028472287318274718,0
stroke_volume_index_ml_per_m2,total_blood_volume_ml,loading,0.03020803184516038,0.024841747371033306,0.03220649853302732,0.006519325261866753,0
stroke_volume_index_ml_per_m2,systemic_resistance_mmhg_s_per_ml,loading,0.03726988190165669,0.027074937762024888,0.04455657692437166,0.009121833988968337,0
stroke_work_j,wall_volume_ml,measured,0.35712549160002055,0.08963996056896134,0.36254764696618935,0.05492867271000256,0
stroke_work_j,ref_cavity_volume_ml,measured,-0.005031958345982628,0.01762938759718673,0.013473615039761409,0.00325068795185411,0
stroke_work_j,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
stroke_work_j,phi_baseline,hidden,0.01022418571314806,0.018239342111030257,0.02154469201073529,0.004703533575028899,0
stroke_work_j,a_pas_kpa,hidden,0.3047841172995159,0.08431747718208266,0.33994136418784987,0.07090579677437699,0
stroke_work_j,b_pas,hidden,0.1957360790529185,0.06658005694470928,0.21720654839482842,0.040535854436203465,0
stroke_work_j,ca50_ref_um,hidden,0.01622707563748527,0.021942221703230867,0.018944332207826615,0.005661244216356407,0
stroke_work_j,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
stroke_work_j,heart_rate_bpm,loading,0.012613781739462818,0.018891036178260795,0.029192037688952312,0.00936563739805563,0
stroke_work_j,total_blood_volume_ml,loading,0.020862328786838767,0.024534376439471692,0.030673046363828838,0.0075718855182295855,0
stroke_work_j,systemic_resistance_mmhg_s_per_ml,loading,0.0032155779448223686,0.00904693429730863,0.004155983540757946,0.000665660587604048,0
atp_cost_per_stroke_work,wall_volume_ml,measured,0.012686232500049207,0.023275615240452303,0.05401133576865558,0.014365812956594715,0
atp_cost_per_stroke_work,ref_cavity_volume_ml,measured,0.01316262442811847,0.028701186945071115,0.04157839670069389,0.01434860467476205,0
atp_cost_per_stroke_work,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
atp_cost_per_stroke_work,phi_baseline,hidden,0.010594558224049542,0.02495793917463389,0.025010166184662137,0.006167149118991886,0
atp_cost_per_stroke_work,a_pas_kpa,hidden,0.3298411770110071,0.0860771675870833,0.4359138960957523,0.09054441900268222,0
atp_cost_per_stroke_work,b_pas,hidden,0.3215378757188655,0.11632056858294265,0.3889396620873204,0.07236595454797815,0
atp_cost_per_stroke_work,ca50_ref_um,hidden,0.15750128419129858,0.058767173155171805,0.18102685745580807,0.03382427282615037,0
atp_cost_per_stroke_work,clearance_l_per_h,hidden,0.0,0.0,0.0,0.0,0
atp_cost_per_stroke_work,heart_rate_bpm,loading,0.00959115133110063,0.017457439973417914,0.02196034448723039,0.0068504464982364205,0
atp_cost_per_stroke_work,total_blood_volume_ml,loading,0.017648777452089506,0.01945509722994842,0.017498889532218988,0.003957754675793618,0
atp_cost_per_stroke_work,systemic_resistance_mmhg_s_per_ml,loading,0.005507885361509117,0.017034342607231714,0.013920709081522044,0.0038554034010325456,0
ef_at_mid_dose,wall_volume_ml,measured,0.238936725336355,0.0745337727144919,0.2507805204844252,0.040190849314961315,0
ef_at_mid_dose,ref_cavity_volume_ml,measured,0.2312387773271213,0.06199544356285613,0.2508281238092857,0.042008598867365694,0
ef_at_mid_dose,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
ef_at_mid_dose,phi_baseline,hidden,0.126156186056033,0.05190260940311277,0.14262458243455325,0.020842600814572964,0
ef_at_mid_dose,a_pas_kpa,hidden,0.061648207705931,0.041450839035105214,0.09734870122497605,0.019675269464557426,0
ef_at_mid_dose,b_pas,hidden,0.05044063988142694,0.04398602675377712,0.09270091711437475,0.02059653089077908,0
ef_at_mid_dose,ca50_ref_um,hidden,0.10337299961612559,0.047542807763374585,0.10515260885382027,0.01859444735827272,0
ef_at_mid_dose,clearance_l_per_h,hidden,0.04090231566315228,0.03815472069651802,0.07129416293840542,0.014352826771583328,0
ef_at_mid_dose,heart_rate_bpm,loading,0.029597271180155454,0.026080119385334107,0.037688058180043636,0.006457334139305685,0
ef_at_mid_dose,total_blood_volume_ml,loading,0.002319691997465281,0.007471922553259444,0.002905975142851567,0.001698909740391612,0
ef_at_mid_dose,systemic_resistance_mmhg_s_per_ml,loading,0.02211642593882565,0.027918129765168116,0.04011617522535029,0.0073286326762769475,0
ef_drop_at_mid_dose,wall_volume_ml,measured,0.037243981372835494,0.04257049573612664,0.11207526274145332,0.02574518380393019,0
ef_drop_at_mid_dose,ref_cavity_volume_ml,measured,0.019761190855525166,0.03595357372697101,0.08165044321654949,0.021268080467443048,0
ef_drop_at_mid_dose,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
ef_drop_at_mid_dose,phi_baseline,hidden,0.18088063499256848,0.06196405537585246,0.22019374274567224,0.04266448349527414,0
ef_drop_at_mid_dose,a_pas_kpa,hidden,0.040088175360203,0.038552660321393574,0.06668230718494705,0.01467623496648094,0
ef_drop_at_mid_dose,b_pas,hidden,0.021977290440708744,0.03235817925407032,0.060004778208881976,0.014792818985722078,0
ef_drop_at_mid_dose,ca50_ref_um,hidden,0.06162038485490128,0.04014067505696694,0.09990649798318768,0.02466299531223267,0
ef_drop_at_mid_dose,clearance_l_per_h,hidden,0.42311777460764166,0.09710055520346689,0.5048915529247698,0.09825221133055484,0
ef_drop_at_mid_dose,heart_rate_bpm,loading,0.004680484417869636,0.013380097636397826,0.008004279408215218,0.002842831453677913,0
ef_drop_at_mid_dose,total_blood_volume_ml,loading,0.003842023795635068,0.008048253426133528,0.005954435952454621,0.0028591645271193716,0
ef_drop_at_mid_dose,systemic_resistance_mmhg_s_per_ml,loading,0.0028473158522253268,0.012324384004773977,0.01129260982015165,0.0027436452308785032,0
ef_slope_per_mg,wall_volume_ml,measured,0.037243981372834974,0.04969415047772028,0.11207526274145299,0.02775282255128265,0
ef_slope_per_mg,ref_cavity_volume_ml,measured,0.01976119085552468,0.04273537409317806,0.08165044321654936,0.02303701766823873,0
ef_slope_per_mg,body_surface_area_m2,measured,0.0,0.0,0.0,0.0,0
ef_slope_per_mg,phi_baseline,hidden,0.18088063499256754,0.061532302675862294,0.22019374274567244,0.044593319106244596,0
ef_slope_per_mg,a_pas_kpa,hidden,0.04008817536020211,0.036483322800226564,0.06668230718494714,0.01611801514135597,0
ef_slope_per_mg,b_pas,hidden,0.021977290440707807,0.039417487092557775,0.060004778208881775,0.016025685290648788,0
ef_slope_per_mg,ca50_ref_um,hidden,0.0616203848549004,0.04387276585409848,0.09990649798318772,0.02499883522614124,0
ef_slope_per_mg,clearance_l_per_h,hidden,0.42311777460764066,0.09478988716442509,0.504891552924769,0.08057240466373096,0
ef_slope_per_mg,heart_rate_bpm,loading,0.004680484417868886,0.01186561506930872,0.008004279408215216,0.002297457326772257,0
ef_slope_per_mg,total_blood_volume_ml,loading,0.00384202379563446,0.009217740501670877,0.005954435952454563,0.0030715535118551766,0
ef_slope_per_mg,systemic_resistance_mmhg_s_per_ml,loading,0.002847315852224435,0.012925542394940748,0.011292609820151648,0.0025689775197815547,0
