noise_level,patient_id,parameter,truth,posterior_median,relative_bias,relative_ci90_width
optimistic,2830,ca50_ref_um,0.6299434761051089,0.6162753770046567,-0.021697342093231882,0.44066607978256245
optimistic,2830,clearance_l_per_h,0.9291102896071972,0.616869404099193,-0.3360643930011918,0.9314233937034949
optimistic,2939,phi_baseline,0.5232848552800715,0.5419608151616968,0.035689853610667906,0.3771346652754353
optimistic,2939,a_pas_kpa,0.8848312648944556,1.1698604278553084,0.3221282681448328,2.6718470722397494
optimistic,2939,b_pas,11.658206079155208,8.644755477682576,-0.2584832161150986,0.7250381848903157
optimistic,2939,ca50_ref_um,0.5198007855564356,0.5164184239744851,-0.006507034379199221,0.17846970609457904
optimistic,2939,clearance_l_per_h,0.189657293530181,0.621150990694779,2.2751231399172767,4.645757984883684
optimistic,3033,phi_baseline,0.4318568640202284,0.46636048399692226,0.07989596287875075,0.6395031775007538
optimistic,3033,a_pas_kpa,3.4680190403014417,4.295735678563847,0.23867130734970252,0.8539726856344858
optimistic,3033,b_pas,12.972299672663212,12.925386886082716,-0.003616381656627618,0.6246510729021895
optimistic,3033,ca50_ref_um,0.7637789225671441,0.7141685362756837,-0.06495385618225037,0.293507680439718
optimistic,3033,clearance_l_per_h,0.8332727170083672,0.6040105828804402,-0.2751345741296183,1.055106542432913
optimistic,3096,phi_baseline,0.4205874195508658,0.45363525581210024,0.0785754274260636,0.6622941346707
optimistic,3096,a_pas_kpa,4.171297823637723,2.9774033853843482,-0.2862165418848464,0.9864876899033146
optimistic,3096,b_pas,8.089367721229792,9.031945984701643,0.1165206349809198,1.150802714969965
optimistic,3096,ca50_ref_um,0.5082841919269413,0.5407266741892179,0.06382744688416316,0.3382735490534691
optimistic,3096,clearance_l_per_h,0.2031323000788688,0.6058426515289208,1.9825027890379543,4.328739478184009
optimistic,3240,phi_baseline,0.5029899815283716,0.5448139443583391,0.0831506876198256,0.38051531334731636
optimistic,3240,a_pas_kpa,5.259566001594067,4.7871315413876045,-0.08982384859573525,0.3674789220858694
optimistic,3240,b_pas,14.178691733628511,16.41941327653084,0.15803443540477471,0.4447453685691924
optimistic,3240,ca50_ref_um,0.4811035436578095,0.47504343177131436,-0.012596273642925938,0.18670999294902446
optimistic,3240,clearance_l_per_h,0.5734708856511861,0.649792146202592,0.13308654800276698,1.5440895294498975
optimistic,3559,phi_baseline,0.6075744226016104,0.4349006707341144,-0.28420181206462514,0.4774146748480868
