quantity,parameter,spearman,p_value
stroke_work_j,total_blood_volume_ml,0.14590632866674655,3.212653704987038e-25
stroke_work_j,systemic_resistance_mmhg_s_per_ml,0.052645889643605864,0.00019443361064741402
atp_cost_per_stroke_work,wall_volume_ml,0.11239345545133926,1.5277298879497325e-15
atp_cost_per_stroke_work,ref_cavity_volume_ml,-0.11309125998231206,1.0192942254571183e-15
atp_cost_per_stroke_work,body_surface_area_m2,0.001689982226826184,0.9048556749634179
atp_cost_per_stroke_work,phi_baseline,0.146622282972388,1.871854687991826e-25
atp_cost_per_stroke_work,a_pas_kpa,0.5990993437004422,0.0
atp_cost_per_stroke_work,b_pas,0.5241537712526325,0.0
atp_cost_per_stroke_work,ca50_ref_um,-0.4067513888876972,9.118542947914658e-199
atp_cost_per_stroke_work,clearance_l_per_h,0.0014477312733418026,0.9184425940188565
atp_cost_per_stroke_work,heart_rate_bpm,0.08677295299491554,7.801799104132958e-10
atp_cost_per_stroke_work,total_blood_volume_ml,-0.13799558646230223,1.0488673085449858e-22
atp_cost_per_stroke_work,systemic_resistance_mmhg_s_per_ml,-0.07413475993644637,1.515588181162992e-07
ef_at_mid_dose,wall_volume_ml,0.46890998488029,4.240819167999249e-272
ef_at_mid_dose,ref_cavity_volume_ml,-0.4741192192065856,5.7546047654967354e-279
ef_at_mid_dose,body_surface_area_m2,-0.006197806566293211,0.6611218116463146
ef_at_mid_dose,phi_baseline,0.3603214881271096,2.586661072303367e-153
ef_at_mid_dose,a_pas_kpa,-0.2193766008434154,1.3360949285354617e-55
ef_at_mid_dose,b_pas,-0.20463191659706842,1.8527345237193485e-48
ef_at_mid_dose,ca50_ref_um,-0.29981776151385475,1.766462263664182e-104
ef_at_mid_dose,clearance_l_per_h,0.23689984153284163,8.489051933479367e-65
ef_at_mid_dose,heart_rate_bpm,-0.164949852104445,7.301324320942699e-32
ef_at_mid_dose,total_blood_volume_ml,-0.0060843243561558855,0.6669496226871197
ef_at_mid_dose,systemic_resistance_mmhg_s_per_ml,-0.1905917112491772,3.733172672914493e-42
ef_drop_at_mid_dose,wall_volume_ml,-0.13978157282929887,2.9220039395506936e-23
ef_drop_at_mid_dose,ref_cavity_volume_ml,0.18510421294394902,8.059328887196159e-40
ef_drop_at_mid_dose,body_surface_area_m2,0.004937317324657375,0.7269313180623862
ef_drop_at_mid_dose,phi_baseline,-0.47117838156273223,4.4834736827594393e-275
ef_drop_at_mid_dose,a_pas_kpa,-0.12484244444424955,7.677949118530634e-19
ef_drop_at_mid_dose,b_pas,-0.17030957304201239,6.936227661887638e-34
ef_drop_at_mid_dose,ca50_ref_um,0.28378124544213484,2.4290089905497592e-93
ef_drop_at_mid_dose,clearance_l_per_h,-0.6446055445987597,0.0
ef_drop_at_mid_dose,heart_rate_bpm,0.021477412161985992,0.12870279327798645
ef_drop_at_mid_dose,total_blood_volume_ml,0.04725176535205527,0.0008260732522241863
ef_drop_at_mid_dose,systemic_resistance_mmhg_s_per_ml,0.10738644264897514,2.590340446252642e-14
ef_slope_per_mg,wall_volume_ml,-0.13978157282929887,2.9220039395506936e-23
ef_slope_per_mg,ref_cavity_volume_ml,0.18510421294394902,8.059328887196159e-40
ef_slope_per_mg,body_surface_area_m2,0.004937317324657375,0.7269313180623862
ef_slope_per_mg,phi_baseline,-0.47117838156273223,4.4834736827594393e-275
ef_slope_per_mg,a_pas_kpa,-0.12484244444424955,7.677949118530634e-19
ef_slope_per_mg,b_pas,-0.17030957304201239,6.936227661887638e-34
ef_slope_per_mg,ca50_ref_um,0.28378124544213484,2.4290089905497592e-93
ef_slope_per_mg,clearance_l_per_h,-0.6446055445987597,0.0
ef_slope_per_mg,heart_rate_bpm,0.021477412161985992,0.12870279327798645
ef_slope_per_mg,total_blood_volume_ml,0.04725176535205527,0.0008260732522241863
ef_slope_per_mg,systemic_resistance_mmhg_s_per_ml,0.10738644264897514,2.590340446252642e-14
